id,scope,label,is_default,discriminator_type
"1","openid","OpenID Connect authentication","1","scope"
"2","offline_access","offline access","1","scope"
"3","profile","profile","1","scope"
"4","email","email","1","scope"
"5","address","address","1","scope"
"6","phone","phone","1","scope"
"7","read","phone","1","scope"
"8","write","phone","1","scope"
